ra_d dec_d i spi freq0
193.291394381579 -55.877593726706344 100000.0 0.0 1575420000.0
232.3239764935004 -35.199734252963786 100000.0 0.0 1575420000.0
201.57071044986728 -58.53440775124967 100000.0 0.0 1575420000.0
236.53209234613072 -31.015806132673422 100000.0 0.0 1575420000.0
210.6446857307186 -60.54563383615205 100000.0 0.0 1575420000.0
291.5154539633247 -23.629282991816726 100000.0 0.0 1575420000.0
240.22041758458866 -26.876272791256145 100000.0 0.0 1575420000.0
221.83968741170068 -62.00477336589669 100000.0 0.0 1575420000.0
295.5428482873229 -27.952231608881597 100000.0 0.0 1575420000.0
243.97126795089332 -22.19352212649831 100000.0 0.0 1575420000.0
232.66606763066173 -62.5171320186431 100000.0 0.0 1575420000.0
299.52488122630564 -31.720621712392308 100000.0 0.0 1575420000.0
247.13222782207825 -17.89125148977916 100000.0 0.0 1575420000.0
244.7392534875067 -62.12485617771993 100000.0 0.0 1575420000.0
250.41686928971689 -13.091899621433033 100000.0 0.0 1575420000.0
255.1636431849606 -60.92299928428 100000.0 0.0 1575420000.0
253.24841918438347 -8.725683978844414 100000.0 0.0 1575420000.0
198.62709758535814 -55.984904191229234 100000.0 0.0 1575420000.0
264.65093350807376 -59.008766092506406 100000.0 0.0 1575420000.0
255.97050399648305 -4.371779983904717 100000.0 0.0 1575420000.0
206.35071614131084 -58.17286418382498 100000.0 0.0 1575420000.0
273.0419427455377 -56.498167475514805 100000.0 0.0 1575420000.0
208.54436552399764 -17.907261772030356 100000.0 0.0 1575420000.0
258.6164375744957 -0.03803719822244537 100000.0 0.0 1575420000.0
215.00066019079622 -59.86991878215506 100000.0 0.0 1575420000.0
280.3526663672352 -53.50545363333102 100000.0 0.0 1575420000.0
211.19908396931504 -22.144247303350284 100000.0 0.0 1575420000.0
261.21365603583973 4.269426002724731 100000.0 0.0 1575420000.0
224.44620545134003 -60.97235510739459 100000.0 0.0 1575420000.0
286.6844850875088 -50.14218177655018 100000.0 0.0 1575420000.0
214.01168877801408 -26.36055127315607 100000.0 0.0 1575420000.0
263.78898624824353 8.529205328269683 100000.0 0.0 1575420000.0
224.44620545134003 -60.97235510739459 100000.0 0.0 1575420000.0
286.6844850875088 -50.14218177655018 100000.0 0.0 1575420000.0
214.01168877801408 -26.36055127315607 100000.0 0.0 1575420000.0
263.78898624824353 8.529205328269683 100000.0 0.0 1575420000.0
244.43511289591373 -61.10761812688098 100000.0 0.0 1575420000.0
296.9912748733943 -42.643580030898825 100000.0 0.0 1575420000.0
220.2812756425472 -34.658441179226706 100000.0 0.0 1575420000.0
254.14821509724214 -60.10650146656405 100000.0 0.0 1575420000.0
301.2558417212199 -38.623623775497684 100000.0 0.0 1575420000.0
223.86382499102237 -38.70800128256819 100000.0 0.0 1575420000.0
